Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,13273.6534986384,14826.9166983811,15947.4057864239,19436.8571597589,15655.0833675338,18753.9812332079,23256.0956126438,24883.1897146534,24646.0208730264,24160.9585446781
Saudi Arabia,SAU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,7.73060138726051,7.8483674355699,8.52705271335434,7.35343759971845,9.61719999229391,8.58837291823058,7.24876028120208,7.69772127946681,9.00400142014768,10.8224534310643
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545
South Africa,ZAF,GDP at market prices (current US$),NY.GDP.MKTP.CD,257771618012.999,271638630111.497,299415359539.558,286769850239.675,295936471258.128,375349442837.24,416596716626.957,397386418270.402,366243783486.353,350085020840.249
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,5444.07584616386,5660.11697380201,6153.65516668126,5811.61894436112,5912.14317941783,7389.96026361652,8080.86524339041,7592.15799699268,6889.78699871556,6482.82147944259
South Africa,ZAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.38376939229127,1.29074629235827,1.17751782554154,1.14584327244181,1.21400210231591,1.11580811250223,1.10278667013409,1.1297752923613,1.12947141032005,1.113877842054
South Africa,ZAF,"Population, total",SP.POP.TOTL,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490,54001953
Turkey,TUR,GDP at market prices (current US$),NY.GDP.MKTP.CD,482979839089.015,530900094644.732,647155131936.449,730337495735.69,614553921806.452,731168051903.114,774754155283.582,788863301670.379,823242587404.139,798429233036.326
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,7117.23324132191,7727.27240453727,9309.50948223814,10382.3181685446,8623.94962537596,10111.5177086398,10584.1639636414,10646.0355326161,10975.0749291962,10515.007820334
Turkey,TUR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.50134177523485,2.47194459187108,2.33212799342637,2.3159607330076,2.62797486234765,2.42755877484283,2.21096616545878,2.25769580009331,2.23883372331552,2.19788410901498
Turkey,TUR,"Population, total",SP.POP.TOTL,67860617,68704721,69515492,70344357,71261307,72310416,73199372,74099255,75010202,75932348
United States,USA,GDP at market prices (current US$),NY.GDP.MKTP.CD,13093726000000,13855888000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16163158000000,16768053000000,17419000000000
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,44307.9205848603,46437.0671173065,48061.5376613353,48401.4273403899,47001.5553496818,48374.0564565966,49781.357490134,51456.6587280353,52980.0436263119,54629.4951678912
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.84423043524815,3.80820052817979,3.84704407867721,4.22004646915036,4.63679244072592,4.66561510232437,4.58397597720211,4.23667206618905,3.81501632896795,3.50142763648889
United States,USA,"Population, total",SP.POP.TOTL,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056
United Kingdom,GBR,GDP at market prices (current US$),NY.GDP.MKTP.CD,2418941818181.82,2588077276908.92,2969733893557.42,2793376838235.29,2314577036921.64,2403504326328.8,2594904662714.31,2630472981169.65,2712296271989.99,2988893283565.2
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,40047.905967007,42534.3062613449,48428.1574527987,45195.1569273881,37166.2759654944,38292.8711313583,41020.3769643089,41294.5148008666,42309.0399221273,46331.9774103502
United Kingdom,GBR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.27997892391714,2.22101562611082,2.22182846417067,2.34896159968729,2.50224300965117,2.41651173734272,2.32279805863611,2.22376957182054,2.09643050026254,2.02214332548464
United Kingdom,GBR,"Population, total",SP.POP.TOTL,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,64510376
